data,produto,categoria,quantidade_produzida,quantidade_vendida,quantidade_descartada,motivo_descarte
16/01/2025,Trufa de Maracujá,Doces,30,24,6,Excedente
16/01/2025,Trufa de Morango,Doces,36,25,11,Qualidade
16/01/2025,Coxinha,Salgados,18,16,2,Excedente
17/01/2025,Bolo de Chocolate,Bolos,32,24,8,Excedente
17/01/2025,Bolo de Cenoura,Bolos,23,14,9,Qualidade
17/01/2025,Bolo Red Velvet,Bolos,36,22,14,Qualidade
17/01/2025,Brigadeiro,Doces,34,32,2,Excedente
17/01/2025,Brigadeiro Gourmet,Doces,33,25,8,
17/01/2025,Trufa de Maracujá,Doces,31,20,11,
17/01/2025,Trufa de Morango,Doces,18,14,4,Validade
17/01/2025,Coxinha,Salgados,12,11,1,Qualidade
20/01/2025,Bolo de Chocolate,Bolos,32,27,5,Validade
20/01/2025,Bolo de Cenoura,Bolos,38,31,7,Qualidade
20/01/2025,Bolo Red Velvet,Bolos,36,31,5,Qualidade
20/01/2025,Brigadeiro,Doces,20,16,4,Qualidade
20/01/2025,Brigadeiro Gourmet,Doces,20,18,2,Qualidade
20/01/2025,Trufa de Maracujá,Doces,36,34,2,Validade
20/01/2025,Trufa de Morango,Doces,25,23,2,Validade
20/01/2025,Coxinha,Salgados,36,28,8,Excedente
21/01/2025,Bolo de Chocolate,Bolos,32,26,6,Excedente
21/01/2025,Bolo de Cenoura,Bolos,37,24,13,Qualidade
21/01/2025,Bolo Red Velvet,Bolos,33,31,2,Excedente
21/01/2025,Brigadeiro,Doces,34,20,14,
21/01/2025,Brigadeiro Gourmet,Doces,31,22,9,Validade
21/01/2025,Trufa de Maracujá,Doces,26,26,0,
21/01/2025,Trufa de Morango,Doces,20,12,8,Excedente
21/01/2025,Coxinha,Salgados,32,27,5,Qualidade
22/01/2025,Bolo de Chocolate,Bolos,31,22,9,Validade
22/01/2025,Bolo de Cenoura,Bolos,34,25,9,Excedente
22/01/2025,Bolo Red Velvet,Bolos,34,24,10,
22/01/2025,Brigadeiro,Doces,32,24,8,Validade
22/01/2025,Brigadeiro Gourmet,Doces,14,8,6,
22/01/2025,Trufa de Maracujá,Doces,29,17,12,
22/01/2025,Trufa de Morango,Doces,13,7,6,Excedente
22/01/2025,Coxinha,Salgados,34,29,5,
23/01/2025,Bolo de Chocolate,Bolos,16,16,0,
23/01/2025,Bolo de Cenoura,Bolos,14,10,4,Qualidade
23/01/2025,Bolo Red Velvet,Bolos,35,21,14,Qualidade
23/01/2025,Brigadeiro,Doces,13,9,4,Excedente
23/01/2025,Brigadeiro Gourmet,Doces,22,17,5,Qualidade
23/01/2025,Trufa de Maracujá,Doces,40,32,8,Excedente
23/01/2025,Trufa de Morango,Doces,38,26,12,Validade
23/01/2025,Coxinha,Salgados,32,24,8,Excedente
24/01/2025,Bolo de Chocolate,Bolos,31,18,13,Validade
24/01/2025,Bolo de Cenoura,Bolos,28,18,10,Qualidade
24/01/2025,Bolo Red Velvet,Bolos,13,11,2,Excedente
24/01/2025,Brigadeiro,Doces,39,24,15,
24/01/2025,Brigadeiro Gourmet,Doces,27,23,4,Qualidade
24/01/2025,Trufa de Maracujá,Doces,10,8,2,Qualidade
24/01/2025,Trufa de Morango,Doces,28,16,12,Validade
24/01/2025,Coxinha,Salgados,17,14,3,Qualidade
27/01/2025,Bolo de Chocolate,Bolos,40,29,11,Qualidade
27/01/2025,Bolo de Cenoura,Bolos,38,34,4,Qualidade
27/01/2025,Bolo Red Velvet,Bolos,10,8,2,Excedente
27/01/2025,Brigadeiro,Doces,34,31,3,Excedente
27/01/2025,Brigadeiro Gourmet,Doces,32,24,8,
27/01/2025,Trufa de Maracujá,Doces,36,25,11,Excedente
27/01/2025,Trufa de Morango,Doces,29,24,5,Excedente
27/01/2025,Coxinha,Salgados,22,18,4,
28/01/2025,Bolo de Chocolate,Bolos,27,27,0,
28/01/2025,Bolo de Cenoura,Bolos,17,13,4,Qualidade
28/01/2025,Bolo Red Velvet,Bolos,29,26,3,Excedente
28/01/2025,Brigadeiro,Doces,16,10,6,Validade
28/01/2025,Brigadeiro Gourmet,Doces,28,26,2,Excedente
28/01/2025,Trufa de Maracujá,Doces,12,11,1,Excedente
28/01/2025,Trufa de Morango,Doces,34,27,7,
28/01/2025,Coxinha,Salgados,26,17,9,Validade
29/01/2025,Bolo de Chocolate,Bolos,31,31,0,
29/01/2025,Bolo de Cenoura,Bolos,28,21,7,
29/01/2025,Bolo Red Velvet,Bolos,15,14,1,Qualidade
29/01/2025,Brigadeiro,Doces,29,24,5,Qualidade
29/01/2025,Brigadeiro Gourmet,Doces,10,6,4,
29/01/2025,Trufa de Maracujá,Doces,36,32,4,Excedente
29/01/2025,Trufa de Morango,Doces,22,13,9,
29/01/2025,Coxinha,Salgados,34,24,10,Excedente
30/01/2025,Bolo de Chocolate,Bolos,37,35,2,Qualidade
30/01/2025,Bolo de Cenoura,Bolos,31,23,8,
30/01/2025,Bolo Red Velvet,Bolos,30,25,5,Validade
30/01/2025,Brigadeiro,Doces,38,28,10,Qualidade
30/01/2025,Brigadeiro Gourmet,Doces,24,15,9,
30/01/2025,Trufa de Maracujá,Doces,21,20,1,
30/01/2025,Trufa de Morango,Doces,36,31,5,Validade
30/01/2025,Coxinha,Salgados,35,30,5,Validade
31/01/2025,Bolo de Chocolate,Bolos,31,20,11,Validade
31/01/2025,Bolo de Cenoura,Bolos,25,20,5,Qualidade
31/01/2025,Bolo Red Velvet,Bolos,11,8,3,
31/01/2025,Brigadeiro,Doces,35,35,0,
31/01/2025,Brigadeiro Gourmet,Doces,28,16,12,
31/01/2025,Trufa de Maracujá,Doces,19,14,5,Validade
31/01/2025,Trufa de Morango,Doces,30,24,6,Excedente
31/01/2025,Coxinha,Salgados,39,31,8,
03/02/2025,Bolo de Chocolate,Bolos,25,18,7,Qualidade
03/02/2025,Bolo de Cenoura,Bolos,11,7,4,Excedente
03/02/2025,Bolo Red Velvet,Bolos,30,30,0,
03/02/2025,Brigadeiro,Doces,18,14,4,Validade
03/02/2025,Brigadeiro Gourmet,Doces,31,25,6,Qualidade
03/02/2025,Trufa de Maracujá,Doces,30,19,11,
03/02/2025,Trufa de Morango,Doces,12,11,1,Validade
03/02/2025,Coxinha,Salgados,13,7,6,Qualidade
04/02/2025,Bolo de Chocolate,Bolos,11,7,4,
04/02/2025,Bolo de Cenoura,Bolos,25,17,8,Validade
04/02/2025,Bolo Red Velvet,Bolos,33,25,8,Excedente
04/02/2025,Brigadeiro,Doces,39,27,12,
04/02/2025,Brigadeiro Gourmet,Doces,12,12,0,
04/02/2025,Trufa de Maracujá,Doces,34,26,8,
04/02/2025,Trufa de Morango,Doces,31,24,7,Excedente
04/02/2025,Coxinha,Salgados,25,16,9,Validade
05/02/2025,Bolo de Chocolate,Bolos,25,24,1,Qualidade
05/02/2025,Bolo de Cenoura,Bolos,21,14,7,
05/02/2025,Bolo Red Velvet,Bolos,20,18,2,Excedente
05/02/2025,Brigadeiro,Doces,14,13,1,Validade
05/02/2025,Brigadeiro Gourmet,Doces,27,19,8,Validade
05/02/2025,Trufa de Maracujá,Doces,40,30,10,Validade
05/02/2025,Trufa de Morango,Doces,30,18,12,Validade
05/02/2025,Coxinha,Salgados,33,25,8,Validade
06/02/2025,Bolo de Chocolate,Bolos,30,26,4,Qualidade
06/02/2025,Bolo de Cenoura,Bolos,15,9,6,Excedente
06/02/2025,Bolo Red Velvet,Bolos,15,13,2,Validade
06/02/2025,Brigadeiro,Doces,11,9,2,Excedente
06/02/2025,Brigadeiro Gourmet,Doces,12,12,0,
06/02/2025,Trufa de Maracujá,Doces,22,19,3,Excedente
06/02/2025,Trufa de Morango,Doces,16,9,7,
06/02/2025,Coxinha,Salgados,10,8,2,Qualidade
07/02/2025,Bolo de Chocolate,Bolos,27,26,1,Qualidade
07/02/2025,Bolo de Cenoura,Bolos,13,10,3,
07/02/2025,Bolo Red Velvet,Bolos,14,9,5,Qualidade
07/02/2025,Brigadeiro,Doces,37,31,6,
07/02/2025,Brigadeiro Gourmet,Doces,36,29,7,Excedente
07/02/2025,Trufa de Maracujá,Doces,25,16,9,Validade
07/02/2025,Trufa de Morango,Doces,22,13,9,
07/02/2025,Coxinha,Salgados,11,9,2,
10/02/2025,Bolo de Chocolate,Bolos,40,31,9,
10/02/2025,Bolo de Cenoura,Bolos,39,37,2,Qualidade
10/02/2025,Bolo Red Velvet,Bolos,12,9,3,Validade
10/02/2025,Brigadeiro,Doces,27,17,10,Validade
10/02/2025,Brigadeiro Gourmet,Doces,11,9,2,Qualidade
10/02/2025,Trufa de Maracujá,Doces,35,30,5,Validade
10/02/2025,Trufa de Morango,Doces,26,25,1,Excedente
10/02/2025,Coxinha,Salgados,25,24,1,Validade
11/02/2025,Bolo de Chocolate,Bolos,33,20,13,Validade
11/02/2025,Bolo de Cenoura,Bolos,24,14,10,Excedente
11/02/2025,Bolo Red Velvet,Bolos,34,26,8,Excedente
11/02/2025,Brigadeiro,Doces,24,24,0,
11/02/2025,Brigadeiro Gourmet,Doces,37,35,2,Excedente
11/02/2025,Trufa de Maracujá,Doces,27,26,1,Excedente
11/02/2025,Trufa de Morango,Doces,24,19,5,
11/02/2025,Coxinha,Salgados,28,16,12,Qualidade
12/02/2025,Bolo de Chocolate,Bolos,35,32,3,Qualidade
12/02/2025,Bolo de Cenoura,Bolos,22,20,2,Excedente
12/02/2025,Bolo Red Velvet,Bolos,30,27,3,Excedente
12/02/2025,Brigadeiro,Doces,34,27,7,Validade
12/02/2025,Brigadeiro Gourmet,Doces,36,21,15,Qualidade
12/02/2025,Trufa de Maracujá,Doces,33,32,1,
12/02/2025,Trufa de Morango,Doces,26,19,7,
12/02/2025,Coxinha,Salgados,20,14,6,Qualidade
13/02/2025,Bolo de Chocolate,Bolos,34,20,14,Validade
13/02/2025,Bolo de Cenoura,Bolos,19,16,3,Qualidade
13/02/2025,Bolo Red Velvet,Bolos,16,13,3,Qualidade
13/02/2025,Brigadeiro,Doces,10,8,2,Qualidade
13/02/2025,Brigadeiro Gourmet,Doces,10,9,1,Validade
13/02/2025,Trufa de Maracujá,Doces,10,6,4,Qualidade
13/02/2025,Trufa de Morango,Doces,22,20,2,Excedente
13/02/2025,Coxinha,Salgados,20,16,4,
14/02/2025,Bolo de Chocolate,Bolos,21,15,6,
14/02/2025,Bolo de Cenoura,Bolos,35,25,10,Validade
14/02/2025,Bolo Red Velvet,Bolos,40,37,3,Qualidade
14/02/2025,Brigadeiro,Doces,26,17,9,Excedente
14/02/2025,Brigadeiro Gourmet,Doces,12,7,5,
14/02/2025,Trufa de Maracujá,Doces,37,26,11,Qualidade
14/02/2025,Trufa de Morango,Doces,11,7,4,Excedente
14/02/2025,Coxinha,Salgados,26,17,9,Validade
17/02/2025,Bolo de Chocolate,Bolos,25,17,8,
17/02/2025,Bolo de Cenoura,Bolos,40,31,9,Qualidade
17/02/2025,Bolo Red Velvet,Bolos,37,22,15,Validade
17/02/2025,Brigadeiro,Doces,35,32,3,Excedente
17/02/2025,Brigadeiro Gourmet,Doces,27,26,1,Validade
17/02/2025,Trufa de Maracujá,Doces,27,27,0,
17/02/2025,Trufa de Morango,Doces,26,26,0,
17/02/2025,Coxinha,Salgados,23,14,9,Validade
18/02/2025,Bolo de Chocolate,Bolos,15,15,0,
18/02/2025,Bolo de Cenoura,Bolos,21,20,1,Validade
18/02/2025,Bolo Red Velvet,Bolos,19,15,4,Qualidade
18/02/2025,Brigadeiro,Doces,11,9,2,Excedente
18/02/2025,Brigadeiro Gourmet,Doces,31,31,0,
18/02/2025,Trufa de Maracujá,Doces,34,27,7,
18/02/2025,Trufa de Morango,Doces,14,8,6,Validade
18/02/2025,Coxinha,Salgados,14,11,3,Validade
19/02/2025,Bolo de Chocolate,Bolos,32,25,7,Validade
19/02/2025,Bolo de Cenoura,Bolos,10,10,0,
19/02/2025,Bolo Red Velvet,Bolos,26,16,10,
19/02/2025,Brigadeiro,Doces,23,19,4,Qualidade
19/02/2025,Brigadeiro Gourmet,Doces,39,34,5,Qualidade
19/02/2025,Trufa de Maracujá,Doces,12,9,3,Qualidade
19/02/2025,Trufa de Morango,Doces,39,36,3,
19/02/2025,Coxinha,Salgados,16,16,0,
20/02/2025,Bolo de Chocolate,Bolos,13,7,6,Validade
20/02/2025,Bolo de Cenoura,Bolos,24,14,10,
20/02/2025,Bolo Red Velvet,Bolos,27,22,5,
20/02/2025,Brigadeiro,Doces,18,16,2,Excedente
20/02/2025,Brigadeiro Gourmet,Doces,13,9,4,
20/02/2025,Trufa de Maracujá,Doces,38,29,9,Excedente
20/02/2025,Trufa de Morango,Doces,37,31,6,
20/02/2025,Coxinha,Salgados,27,25,2,Excedente
21/02/2025,Bolo de Chocolate,Bolos,16,16,0,
21/02/2025,Bolo de Cenoura,Bolos,19,13,6,Excedente
21/02/2025,Bolo Red Velvet,Bolos,15,11,4,
21/02/2025,Brigadeiro,Doces,24,20,4,
21/02/2025,Brigadeiro Gourmet,Doces,32,26,6,Qualidade
21/02/2025,Trufa de Maracujá,Doces,31,31,0,
21/02/2025,Trufa de Morango,Doces,28,21,7,Validade
21/02/2025,Coxinha,Salgados,22,19,3,Validade
24/02/2025,Bolo de Chocolate,Bolos,17,12,5,Qualidade
24/02/2025,Bolo de Cenoura,Bolos,31,25,6,Validade
24/02/2025,Bolo Red Velvet,Bolos,13,9,4,Validade
24/02/2025,Brigadeiro,Doces,38,33,5,Validade
24/02/2025,Brigadeiro Gourmet,Doces,31,25,6,Validade
24/02/2025,Trufa de Maracujá,Doces,21,13,8,
24/02/2025,Trufa de Morango,Doces,33,29,4,Qualidade
24/02/2025,Coxinha,Salgados,14,9,5,Validade
25/02/2025,Bolo de Chocolate,Bolos,30,22,8,
25/02/2025,Bolo de Cenoura,Bolos,39,38,1,Qualidade
25/02/2025,Bolo Red Velvet,Bolos,20,18,2,Validade
25/02/2025,Brigadeiro,Doces,32,20,12,Excedente
25/02/2025,Brigadeiro Gourmet,Doces,30,28,2,Excedente
25/02/2025,Trufa de Maracujá,Doces,31,28,3,Qualidade
25/02/2025,Trufa de Morango,Doces,17,14,3,Validade
25/02/2025,Coxinha,Salgados,22,15,7,Validade
26/02/2025,Bolo de Chocolate,Bolos,23,15,8,Validade
26/02/2025,Bolo de Cenoura,Bolos,20,18,2,
26/02/2025,Bolo Red Velvet,Bolos,11,11,0,
26/02/2025,Brigadeiro,Doces,36,27,9,Validade
26/02/2025,Brigadeiro Gourmet,Doces,39,24,15,Excedente
26/02/2025,Trufa de Maracujá,Doces,40,26,14,Qualidade
26/02/2025,Trufa de Morango,Doces,18,13,5,Excedente
26/02/2025,Coxinha,Salgados,36,27,9,
27/02/2025,Bolo de Chocolate,Bolos,17,15,2,
27/02/2025,Bolo de Cenoura,Bolos,26,15,11,
27/02/2025,Bolo Red Velvet,Bolos,24,23,1,Qualidade
27/02/2025,Brigadeiro,Doces,19,18,1,Qualidade
27/02/2025,Brigadeiro Gourmet,Doces,19,15,4,Validade
27/02/2025,Trufa de Maracujá,Doces,32,25,7,
27/02/2025,Trufa de Morango,Doces,22,15,7,Validade
27/02/2025,Coxinha,Salgados,35,29,6,
28/02/2025,Bolo de Chocolate,Bolos,33,23,10,Qualidade
28/02/2025,Bolo de Cenoura,Bolos,10,10,0,
28/02/2025,Bolo Red Velvet,Bolos,23,17,6,
28/02/2025,Brigadeiro,Doces,19,13,6,Qualidade
28/02/2025,Brigadeiro Gourmet,Doces,14,11,3,Qualidade
28/02/2025,Trufa de Maracujá,Doces,33,23,10,
28/02/2025,Trufa de Morango,Doces,10,10,0,
28/02/2025,Coxinha,Salgados,33,29,4,Qualidade
03/03/2025,Bolo de Chocolate,Bolos,28,21,7,Validade
03/03/2025,Bolo de Cenoura,Bolos,23,23,0,
03/03/2025,Bolo Red Velvet,Bolos,15,13,2,Validade
03/03/2025,Brigadeiro,Doces,27,20,7,Excedente
03/03/2025,Brigadeiro Gourmet,Doces,18,18,0,
03/03/2025,Trufa de Maracujá,Doces,35,23,12,
03/03/2025,Trufa de Morango,Doces,14,11,3,
03/03/2025,Coxinha,Salgados,38,28,10,Qualidade
04/03/2025,Bolo de Chocolate,Bolos,13,13,0,
04/03/2025,Bolo de Cenoura,Bolos,39,28,11,Excedente
04/03/2025,Bolo Red Velvet,Bolos,26,16,10,Qualidade
04/03/2025,Brigadeiro,Doces,31,30,1,
04/03/2025,Brigadeiro Gourmet,Doces,22,19,3,Qualidade
04/03/2025,Trufa de Maracujá,Doces,18,10,8,Excedente
04/03/2025,Trufa de Morango,Doces,35,22,13,
04/03/2025,Coxinha,Salgados,37,30,7,Excedente
05/03/2025,Bolo de Chocolate,Bolos,39,37,2,
05/03/2025,Bolo de Cenoura,Bolos,20,14,6,Qualidade
05/03/2025,Bolo Red Velvet,Bolos,19,17,2,
05/03/2025,Brigadeiro,Doces,26,20,6,Validade
05/03/2025,Brigadeiro Gourmet,Doces,23,22,1,Qualidade
05/03/2025,Trufa de Maracujá,Doces,12,10,2,Excedente
05/03/2025,Trufa de Morango,Doces,12,10,2,Validade
05/03/2025,Coxinha,Salgados,17,15,2,Qualidade
06/03/2025,Bolo de Chocolate,Bolos,30,26,4,Excedente
06/03/2025,Bolo de Cenoura,Bolos,20,16,4,
06/03/2025,Bolo Red Velvet,Bolos,10,8,2,Validade
06/03/2025,Brigadeiro,Doces,30,18,12,Excedente
06/03/2025,Brigadeiro Gourmet,Doces,35,35,0,
06/03/2025,Trufa de Maracujá,Doces,24,18,6,Excedente
06/03/2025,Trufa de Morango,Doces,32,27,5,Validade
06/03/2025,Coxinha,Salgados,25,21,4,
07/03/2025,Bolo de Chocolate,Bolos,19,19,0,
07/03/2025,Bolo de Cenoura,Bolos,24,22,2,Excedente
07/03/2025,Bolo Red Velvet,Bolos,13,8,5,Qualidade
07/03/2025,Brigadeiro,Doces,13,8,5,
07/03/2025,Brigadeiro Gourmet,Doces,23,13,10,
07/03/2025,Trufa de Maracujá,Doces,27,19,8,Qualidade
07/03/2025,Trufa de Morango,Doces,21,21,0,
07/03/2025,Coxinha,Salgados,19,19,0,
10/03/2025,Bolo de Chocolate,Bolos,15,14,1,Qualidade
10/03/2025,Bolo de Cenoura,Bolos,39,31,8,Excedente
10/03/2025,Bolo Red Velvet,Bolos,14,10,4,Validade
10/03/2025,Brigadeiro,Doces,22,13,9,Qualidade
10/03/2025,Brigadeiro Gourmet,Doces,38,33,5,Qualidade
10/03/2025,Trufa de Maracujá,Doces,19,12,7,
10/03/2025,Trufa de Morango,Doces,23,18,5,Excedente
10/03/2025,Coxinha,Salgados,23,14,9,Excedente
11/03/2025,Bolo de Chocolate,Bolos,13,7,6,Validade
11/03/2025,Bolo de Cenoura,Bolos,11,11,0,
11/03/2025,Bolo Red Velvet,Bolos,13,9,4,
11/03/2025,Brigadeiro,Doces,37,29,8,Validade
11/03/2025,Brigadeiro Gourmet,Doces,30,20,10,Qualidade
11/03/2025,Trufa de Maracujá,Doces,40,34,6,Excedente
11/03/2025,Trufa de Morango,Doces,19,19,0,
11/03/2025,Coxinha,Salgados,38,22,16,Validade
12/03/2025,Bolo de Chocolate,Bolos,14,11,3,
12/03/2025,Bolo de Cenoura,Bolos,12,8,4,
12/03/2025,Bolo Red Velvet,Bolos,25,16,9,Excedente
12/03/2025,Brigadeiro,Doces,22,21,1,Excedente
12/03/2025,Brigadeiro Gourmet,Doces,16,9,7,Validade
12/03/2025,Trufa de Maracujá,Doces,31,25,6,Excedente
12/03/2025,Trufa de Morango,Doces,18,17,1,Excedente
12/03/2025,Coxinha,Salgados,10,10,0,
13/03/2025,Bolo de Chocolate,Bolos,10,7,3,Validade
13/03/2025,Bolo de Cenoura,Bolos,35,33,2,Qualidade
13/03/2025,Bolo Red Velvet,Bolos,15,13,2,Validade
13/03/2025,Brigadeiro,Doces,37,34,3,Excedente
13/03/2025,Brigadeiro Gourmet,Doces,36,24,12,
13/03/2025,Trufa de Maracujá,Doces,20,20,0,
13/03/2025,Trufa de Morango,Doces,33,23,10,Validade
13/03/2025,Coxinha,Salgados,14,13,1,Qualidade
14/03/2025,Bolo de Chocolate,Bolos,24,20,4,Excedente
14/03/2025,Bolo de Cenoura,Bolos,20,14,6,
14/03/2025,Bolo Red Velvet,Bolos,30,23,7,
14/03/2025,Brigadeiro,Doces,40,28,12,Validade
14/03/2025,Brigadeiro Gourmet,Doces,39,28,11,Qualidade
14/03/2025,Trufa de Maracujá,Doces,27,22,5,Excedente
14/03/2025,Trufa de Morango,Doces,23,15,8,
14/03/2025,Coxinha,Salgados,11,6,5,Validade
17/03/2025,Bolo de Chocolate,Bolos,21,21,0,
17/03/2025,Bolo de Cenoura,Bolos,27,16,11,Validade
17/03/2025,Bolo Red Velvet,Bolos,37,22,15,Validade
17/03/2025,Brigadeiro,Doces,32,22,10,Validade
17/03/2025,Brigadeiro Gourmet,Doces,10,8,2,Qualidade
17/03/2025,Trufa de Maracujá,Doces,24,22,2,Qualidade
17/03/2025,Trufa de Morango,Doces,27,22,5,
17/03/2025,Coxinha,Salgados,30,20,10,Qualidade
18/03/2025,Bolo de Chocolate,Bolos,11,7,4,Validade
18/03/2025,Bolo de Cenoura,Bolos,24,15,9,Validade
18/03/2025,Bolo Red Velvet,Bolos,37,24,13,
18/03/2025,Brigadeiro,Doces,28,27,1,Qualidade
18/03/2025,Brigadeiro Gourmet,Doces,40,29,11,Qualidade
18/03/2025,Trufa de Maracujá,Doces,37,36,1,
18/03/2025,Trufa de Morango,Doces,40,36,4,Qualidade
18/03/2025,Coxinha,Salgados,13,9,4,Excedente
19/03/2025,Bolo de Chocolate,Bolos,12,9,3,Validade
19/03/2025,Bolo de Cenoura,Bolos,28,24,4,Validade
19/03/2025,Bolo Red Velvet,Bolos,24,14,10,Qualidade
19/03/2025,Brigadeiro,Doces,24,16,8,Qualidade
19/03/2025,Brigadeiro Gourmet,Doces,36,30,6,Qualidade
